date,data,cols
1,8073875,channel1
2,5471125,channel1
3,6167150,channel1
4,8508525,channel1
5,8669675,channel1
6,7879025,channel1
7,9018550,channel1
8,7119550,channel1
9,5288500,channel1
10,9514325,channel1
11,18909950,channel1
12,14978475,channel1
13,11286675,channel1
14,16310150,channel1
15,8395475,channel1
16,8881125,channel1
17,7367425,channel1
18,5952275,channel1
19,8544625,channel1
20,5115375,channel1
21,5619975,channel1
22,6173350,channel1
23,5953500,channel1
24,5448975,channel1
25,6294025,channel1
26,7012200,channel1
27,3645425,channel1
28,3026375,channel1
29,2710875,channel1
30,2747150,channel1
31,5374225,channel1
32,3569300,channel1
33,5928175,channel1
34,7801450,channel1
35,9715575,channel1
36,8008575,channel1
37,4221025,channel1
38,5207850,channel1
39,7622100,channel1
40,8881400,channel1
41,6478200,channel1
42,9396400,channel1
43,4339950,channel1
44,8363125,channel1
45,14103825,channel1
46,7058500,channel1
47,4211075,channel1
48,6857050,channel1
49,7203225,channel1
50,10078700,channel1
51,9333825,channel1
52,8146550,channel1
53,10421550,channel1
54,8389425,channel1
55,11501650,channel1
56,11118800,channel1
57,6925325,channel1
58,9333800,channel1
59,8004425,channel1
60,3969800,channel1
61,4158650,channel1
62,5112300,channel1
63,3812475,channel1
64,3613475,channel1
65,7393900,channel1
66,5019000,channel1
67,6689600,channel1
68,4033950,channel1
69,4555800,channel1
70,4803650,channel1
71,6200750,channel1
72,3943225,channel1
73,3626000,channel1
74,3949600,channel1
75,4334325,channel1
76,4004175,channel1
77,4604925,channel1
78,10151750,channel1
79,4562450,channel1
80,3717750,channel1
81,3690700,channel1
82,5366750,channel1
83,6546450,channel1
84,5722975,channel1
85,4443000,channel1
86,4174525,channel1
87,6586900,channel1
88,6643275,channel1
89,6396725,channel1
90,11045775,channel1
91,3641500,channel1
92,5168475,channel1
93,9415275,channel1
94,14896075,channel1
95,5060850,channel1
96,4264875,channel1
97,6652125,channel1
98,5457150,channel1
99,5385800,channel1
100,4656875,channel1
101,3608850,channel1
102,6355075,channel1
103,5817175,channel1
104,9578925,channel1
105,8431725,channel1
106,5620875,channel1
107,4637350,channel1
108,5489775,channel1
109,4411125,channel1
110,3413125,channel1
111,8823125,channel1
112,6456600,channel1
113,4546100,channel1
114,9148925,channel1
115,3701350,channel1
116,6504075,channel1
117,6317150,channel1
118,12637675,channel1
119,10233575,channel1
120,7357575,channel1
121,7023475,channel1
122,5202675,channel1
123,6210875,channel1
124,4767475,channel1
125,7074475,channel1
126,5577000,channel1
127,5960025,channel1
128,7760675,channel1
129,7405700,channel1
130,4975250,channel1
131,8158550,channel1
132,4596025,channel1
133,6962900,channel1
134,7155925,channel1
135,6133800,channel1
136,4481100,channel1
137,9611225,channel1
138,8464875,channel1
139,4972750,channel1
140,5427375,channel1
141,4101000,channel1
142,4181675,channel1
143,4122750,channel1
144,4593675,channel1
145,4133975,channel1
146,2913175,channel1
147,4169525,channel1
148,2903350,channel1
149,4037450,channel1
150,7267650,channel1
151,3400350,channel1
152,8210950,channel1
153,3497950,channel1
154,3770250,channel1
155,6191575,channel1
156,4881525,channel1
157,5714600,channel1
158,4020650,channel1
159,4094375,channel1
160,5011900,channel1
161,3803325,channel1
162,2942700,channel1
163,2634725,channel1
164,2282150,channel1
165,6274825,channel1
166,4212275,channel1
167,6334250,channel1
168,5930100,channel1
169,3460375,channel1
170,4401225,channel1
171,10983500,channel1
172,2841300,channel1
173,5968300,channel1
174,6079775,channel1
175,4923575,channel1
176,4381600,channel1
177,4583700,channel1
178,4488800,channel1
179,5212175,channel1
180,3006425,channel1
181,3335050,channel1
182,5779000,channel1
183,4956850,channel1
184,2977775,channel1
185,6461175,channel1
186,5786975,channel1
187,3336725,channel1
188,2350125,channel1
189,2732400,channel1
190,2501125,channel1
191,5841775,channel1
192,2653650,channel1
193,2143350,channel1
194,6803025,channel1
195,5558800,channel1
196,4166450,channel1
197,4221475,channel1
198,9192225,channel1
199,5569625,channel1
200,4865550,channel1
201,3636350,channel1
202,3786700,channel1
203,4743150,channel1
204,3702725,channel1
205,5948275,channel1
206,3733300,channel1
207,2385725,channel1
208,7960900,channel1
209,3757775,channel1
210,3106725,channel1
211,3050525,channel1
212,3091700,channel1
213,4980425,channel1
214,6570550,channel1
215,3806150,channel1
216,4268725,channel1
217,3363975,channel1
218,4400200,channel1
219,3249900,channel1
220,4580925,channel1
221,3193850,channel1
222,5873625,channel1
223,5501225,channel1
224,6637575,channel1
225,3552300,channel1
226,4753125,channel1
227,1914025,channel1
228,3734500,channel1
229,7082750,channel1
230,7620200,channel1
231,4339875,channel1
232,3522475,channel1
233,5591600,channel1
234,6753775,channel1
235,6023025,channel1
236,3129950,channel1
237,3580600,channel1
238,6123575,channel1
239,4014975,channel1
240,3926525,channel1
241,5126825,channel1
242,4419900,channel1
243,3660500,channel1
244,5756475,channel1
245,5544025,channel1
246,4464650,channel1
247,3008625,channel1
248,5488575,channel1
249,7086900,channel1
250,6730775,channel1
251,6596325,channel1
252,3794050,channel1
253,5004950,channel1
254,4123350,channel1
255,6948925,channel1
256,3719725,channel1
257,7313500,channel1
258,10326625,channel1
259,4415350,channel1
260,5003550,channel1
261,11721775,channel1
262,5802100,channel1
263,7806425,channel1
264,9094250,channel1
265,4499875,channel1
266,9080800,channel1
267,10251825,channel1
268,6658200,channel1
269,4227150,channel1
270,4877650,channel1
271,5005150,channel1
272,5936950,channel1
273,4030750,channel1
274,3902600,channel1
275,4066525,channel1
276,2630875,channel1
277,4782400,channel1
278,3180150,channel1
279,2124175,channel1
280,1969575,channel1
281,2174700,channel1
282,2726825,channel1
283,3044975,channel1
284,1887850,channel1
285,4518825,channel1
286,4004725,channel1
287,7929050,channel1
288,11348950,channel1
289,4079375,channel1
290,8978050,channel1
291,10159075,channel1
292,4721800,channel1
293,6446300,channel1
294,11610575,channel1
295,2973550,channel1
296,3973750,channel1
297,4758475,channel1
298,5699375,channel1
299,3310200,channel1
300,4649900,channel1
301,5194850,channel1
302,4026725,channel1
303,8795175,channel1
304,5318575,channel1
305,4103400,channel1
306,4179950,channel1
307,11960875,channel1
308,11564100,channel1
309,5682050,channel1
310,7857625,channel1
311,11100950,channel1
312,10825700,channel1
313,4342950,channel1
314,6033225,channel1
315,5661850,channel1
316,8589300,channel1
317,4518750,channel1
318,5078425,channel1
319,8342275,channel1
320,6490625,channel1
321,5211750,channel1
322,6759000,channel1
323,3880525,channel1
324,8611875,channel1
325,5636275,channel1
326,10440375,channel1
327,6450725,channel1
328,8519425,channel1
329,5548600,channel1
330,5586550,channel1
331,8583025,channel1
332,15701350,channel1
333,51263600,channel1
334,99041775,channel1
335,60298925,channel1
336,31079325,channel1
337,35313125,channel1
338,36014375,channel1
339,23570175,channel1
340,21305575,channel1
341,13993200,channel1
342,16091100,channel1
343,8296100,channel1
344,11283675,channel1
345,10359875,channel1
346,7209525,channel1
347,12178875,channel1
348,9428750,channel1
349,13843475,channel1
350,9751675,channel1
351,24508225,channel1
352,13108275,channel1
353,10506800,channel1
354,7829975,channel1
355,6662100,channel1
356,9160450,channel1
357,8421125,channel1
358,7582950,channel1
359,5196300,channel1
360,7454325,channel1
361,2487500,channel1
362,4409675,channel1
363,2575000,channel1
364,9301525,channel1
365,11774275,channel1
366,3828300,channel1
367,12026275,channel1
368,5609700,channel1
369,5248125,channel1
370,7389225,channel1
371,5477200,channel1
372,5936200,channel1
373,5897525,channel1
374,7342375,channel1
375,5196375,channel1
376,15969800,channel1
377,9606900,channel1
378,10466825,channel1
379,6373425,channel1
380,8110575,channel1
381,5151300,channel1
382,7479675,channel1
383,11859625,channel1
384,5064700,channel1
385,6913350,channel1
386,9315825,channel1
387,5609700,channel1
388,7698300,channel1
389,4478525,channel1
390,6211800,channel1
391,4103575,channel1
392,2823650,channel1
393,3128850,channel1
394,4195225,channel1
395,5820550,channel1
396,6245900,channel1
397,6452600,channel1
398,6693225,channel1
399,8337850,channel1
400,7108800,channel1
401,7297500,channel1
402,6033175,channel1
403,4459600,channel1
404,6131775,channel1
405,3070600,channel1
406,6806750,channel1
407,5846225,channel1
408,11301125,channel1
409,7109425,channel1
410,7853200,channel1
411,24487550,channel1
412,8668000,channel1
413,13547550,channel1
414,8395950,channel1
415,6081650,channel1
416,10264075,channel1
417,9219550,channel1
418,9537100,channel1
