date,data,cols
1,"Japan Show GDP Growth of 4.8% (EWJ, PJO, EWV) ETFs To Watch November 16, 2009 (EWJ, IYT, GDX, UDN, XLP)",channel1
2,.,channel1
3,.,channel1
4,.,channel1
5,.,channel1
6,"Stocks in Japan after Fears of Continued Deflation (8316, 8303, 9205, EWJ, PJO)",channel1
7,"Japan Economy Expand Faster Thanks To China Exports (TM, HMC, 6305, EWV, PJO, EWJ)",channel1
8,"Japanese Stock Market Appears to Have Rolled Over ETFs To Watch November 25, 2009",channel1
9,.,channel1
10,"Bookkeeping: Cutting Back Blackstone Group (BX) on Break of Support, Shorting iShares MSCI Japan (EWJ)",channel1
11,.,channel1
12,"Japan Stocks Continue To Rise Behind The Fading Yen (HMC, SNE, PN, EZJ, JPP) ETFs To Watch December 2, 2009 (DBB, GDXJ, MOO, JNK)",channel1
13,.,channel1
14,.,channel1
15,.,channel1
16,"ETFs To Watch December 8, 2009 (IYT, SKF, EWJ, DUG, ZSL)",channel1
17,.,channel1
18,"ETFs To Watch December 10, 2009 (SMH, IYF, EWJ, FDN, DBP)",channel1
19,.,channel1
20,.,channel1
21,.,channel1
22,.,channel1
23,.,channel1
24,.,channel1
25,.,channel1
26,.,channel1
27,.,channel1
28,.,channel1
29,.,channel1
30,.,channel1
31,.,channel1
32,.,channel1
33,.,channel1
34,.,channel1
35,Call Rolling in the IShares Japan Index,channel1
36,.,channel1
37,.,channel1
38,.,channel1
39,"ETFs To Watch January 12, 2010 (UXI, XLE, UNG, EWO)",channel1
40,.,channel1
41,.,channel1
42,.,channel1
43,.,channel1
44,.,channel1
45,.,channel1
46,.,channel1
47,.,channel1
48,Nikkei ETF (EWJ) Getting Hit After S&P Outlook Downgrade,channel1
49,.,channel1
50,.,channel1
51,.,channel1
52,.,channel1
53,.,channel1
54,.,channel1
55,Toyota's Troubles May Power U.S. Consumer ETF,channel1
56,.,channel1
57,"ETFs To Watch February 8, 2010 (IYR, ZSL, FXE, EWJ)",channel1
58,.,channel1
59,.,channel1
60,.,channel1
61,.,channel1
62,.,channel1
63,Singapore ETF Could Get A Jolt On Export News,channel1
64,.,channel1
65,.,channel1
66,"ETFs To Watch February 22, 2010 (OIH, SDS, USO, EWJ)",channel1
67,.,channel1
68,.,channel1
69,.,channel1
70,.,channel1
71,.,channel1
72,Japanese Market Benefits From Better Than Expected Employment Data (EWJ) The Best Developed Market ETF Plays,channel1
73,.,channel1
74,.,channel1
75,.,channel1
76,.,channel1
77,.,channel1
78,.,channel1
79,.,channel1
80,.,channel1
81,"Anniversaries: 1-Year for Bull, 10-Years for Bear",channel1
82,.,channel1
83,.,channel1
84,.,channel1
85,.,channel1
86,.,channel1
87,.,channel1
88,.,channel1
89,.,channel1
90,.,channel1
91,.,channel1
