date,data,cols
1,1.068,channel1
2,1.079,channel1
3,1.079,channel1
4,1.086,channel1
5,1.086,channel1
6,1.097,channel1
7,1.106,channel1
8,1.106,channel1
9,1.107,channel1
10,1.104,channel1
11,1.101,channel1
12,1.095,channel1
13,1.089,channel1
14,1.086,channel1
15,1.081,channel1
16,1.075,channel1
17,1.069,channel1
18,1.062,channel1
19,1.06,channel1
20,1.059,channel1
21,1.065,channel1
22,1.062,channel1
23,1.055,channel1
24,1.051,channel1
25,1.045,channel1
26,1.047,channel1
27,1.092,channel1
28,1.09,channel1
29,1.093,channel1
30,1.092,channel1
31,1.084,channel1
32,1.075,channel1
33,1.064,channel1
34,1.058,channel1
35,1.051,channel1
36,1.036,channel1
37,1.018,channel1
38,1.003,channel1
39,0.999,channel1
40,0.992,channel1
41,0.995,channel1
42,1.001,channel1
43,0.999,channel1
44,1.005,channel1
45,1.007,channel1
46,1.016,channel1
47,1.009,channel1
48,1.004,channel1
49,1.007,channel1
50,1.005,channel1
51,1.007,channel1
52,1.012,channel1
53,1.011,channel1
54,1.028,channel1
55,1.033,channel1
56,1.037,channel1
57,1.04,channel1
58,1.045,channel1
59,1.046,channel1
60,1.05,channel1
61,1.056,channel1
62,1.065,channel1
63,1.073,channel1
64,1.079,channel1
65,1.095,channel1
66,1.097,channel1
67,1.103,channel1
68,1.109,channel1
69,1.114,channel1
70,1.13,channel1
71,1.157,channel1
72,1.161,channel1
73,1.165,channel1
74,1.161,channel1
75,1.156,channel1
76,1.15,channel1
77,1.14,channel1
78,1.129,channel1
79,1.12,channel1
80,1.114,channel1
81,1.106,channel1
82,1.107,channel1
83,1.121,channel1
84,1.123,channel1
85,1.122,channel1
86,1.113,channel1
87,1.117,channel1
88,1.127,channel1
89,1.131,channel1
90,1.134,channel1
91,1.125,channel1
92,1.127,channel1
93,1.134,channel1
94,1.126,channel1
95,1.132,channel1
96,1.131,channel1
97,1.124,channel1
98,1.121,channel1
99,1.115,channel1
100,1.121,channel1
101,1.123,channel1
102,1.116,channel1
103,1.114,channel1
104,1.121,channel1
105,1.133,channel1
