date,data,cols
1,94,channel1
2,94,channel1
3,115,channel1
4,95,channel1
5,135,channel1
6,88,channel1
7,74,channel1
8,81,channel1
9,90,channel1
10,95,channel1
11,101,channel1
12,211,channel1
13,52,channel1
14,63,channel1
15,180,channel1
16,71,channel1
17,161,channel1
18,135,channel1
19,115,channel1
20,75,channel1
21,52,channel1
22,90,channel1
23,100,channel1
24,104,channel1
25,77,channel1
26,95,channel1
27,70,channel1
28,89,channel1
29,87,channel1
30,89,channel1
31,85,channel1
32,82,channel1
33,80,channel1
34,57,channel1
35,45,channel1
36,77,channel1
37,85,channel1
38,135,channel1
39,75,channel1
40,78,channel1
41,64,channel1
42,55,channel1
43,74,channel1
44,75,channel1
45,83,channel1
46,85,channel1
47,75,channel1
48,82,channel1
49,52,channel1
50,104,channel1
51,75,channel1
52,128,channel1
53,131,channel1
54,100,channel1
55,85,channel1
56,80,channel1
57,103,channel1
58,79,channel1
59,74,channel1
60,86,channel1
61,75,channel1
62,89,channel1
63,79,channel1
64,98,channel1
65,91,channel1
66,87,channel1
67,84,channel1
68,108,channel1
69,128,channel1
70,89,channel1
71,89,channel1
72,77,channel1
73,98,channel1
74,77,channel1
75,64,channel1
76,62,channel1
77,67,channel1
78,193,channel1
79,90,channel1
80,91,channel1
81,209,channel1
82,76,channel1
83,69,channel1
84,86,channel1
85,92,channel1
86,109,channel1
87,91,channel1
88,75,channel1
89,73,channel1
90,80,channel1
91,67,channel1
92,89,channel1
93,92,channel1
94,109,channel1
95,108,channel1
96,151,channel1
97,91,channel1
98,105,channel1
99,80,channel1
100,121,channel1
101,123,channel1
102,185,channel1
103,118,channel1
104,84,channel1
105,84,channel1
106,91,channel1
107,115,channel1
108,97,channel1
109,73,channel1
110,94,channel1
111,87,channel1
112,119,channel1
113,116,channel1
114,84,channel1
115,102,channel1
116,161,channel1
117,126,channel1
118,83,channel1
119,100,channel1
120,68,channel1
121,128,channel1
122,98,channel1
123,95,channel1
124,90,channel1
125,128,channel1
126,128,channel1
127,192,channel1
128,148,channel1
129,105,channel1
130,90,channel1
131,90,channel1
132,108,channel1
133,82,channel1
134,165,channel1
135,185,channel1
136,156,channel1
137,89,channel1
138,93,channel1
139,150,channel1
140,140,channel1
141,140,channel1
142,129,channel1
143,104,channel1
144,181,channel1
145,200,channel1
146,222,channel1
147,99,channel1
148,60,channel1
149,115,channel1
150,116,channel1
151,143,channel1
152,105,channel1
153,123,channel1
154,126,channel1
155,130,channel1
156,151,channel1
157,123,channel1
158,90,channel1
159,174,channel1
160,100,channel1
161,79,channel1
162,103,channel1
163,184,channel1
164,79,channel1
165,103,channel1
166,224,channel1
167,235,channel1
168,219,channel1
169,96,channel1
170,108,channel1
171,214,channel1
172,201,channel1
173,93,channel1
174,105,channel1
175,147,channel1
176,220,channel1
177,230,channel1
178,212,channel1
179,119,channel1
180,206,channel1
181,172,channel1
182,166,channel1
183,133,channel1
184,154,channel1
185,192,channel1
186,133,channel1
187,201,channel1
188,227,channel1
189,54,channel1
190,109,channel1
191,80,channel1
192,204,channel1
193,217,channel1
194,205,channel1
195,87,channel1
196,129,channel1
197,216,channel1
198,216,channel1
199,219,channel1
200,216,channel1
201,217,channel1
202,220,channel1
203,278,channel1
204,266,channel1
205,228,channel1
206,106,channel1
207,93,channel1
208,185,channel1
209,233,channel1
210,172,channel1
211,93,channel1
212,104,channel1
213,213,channel1
214,232,channel1
215,206,channel1
216,205,channel1
217,187,channel1
218,224,channel1
219,210,channel1
220,219,channel1
221,215,channel1
222,223,channel1
223,156,channel1
224,147,channel1
225,205,channel1
226,138,channel1
227,99,channel1
228,208,channel1
229,120,channel1
230,87,channel1
231,90,channel1
232,90,channel1
233,164,channel1
234,101,channel1
235,93,channel1
236,84,channel1
237,90,channel1
238,192,channel1
239,205,channel1
240,260,channel1
241,222,channel1
242,238,channel1
243,112,channel1
244,201,channel1
245,140,channel1
246,190,channel1
247,201,channel1
248,126,channel1
249,195,channel1
250,163,channel1
251,190,channel1
252,133,channel1
253,97,channel1
254,182,channel1
255,113,channel1
256,93,channel1
257,182,channel1
258,208,channel1
259,176,channel1
260,115,channel1
261,68,channel1
262,84,channel1
263,95,channel1
264,102,channel1
265,177,channel1
266,192,channel1
267,200,channel1
268,158,channel1
269,75,channel1
270,97,channel1
271,111,channel1
272,75,channel1
273,81,channel1
274,86,channel1
275,109,channel1
276,93,channel1
277,109,channel1
278,97,channel1
279,84,channel1
280,63,channel1
281,82,channel1
282,82,channel1
283,101,channel1
284,125,channel1
285,83,channel1
286,80,channel1
287,72,channel1
288,60,channel1
289,84,channel1
290,166,channel1
291,120,channel1
292,147,channel1
293,84,channel1
294,65,channel1
295,88,channel1
296,76,channel1
297,89,channel1
298,104,channel1
299,108,channel1
300,61,channel1
301,49,channel1
302,82,channel1
303,85,channel1
304,86,channel1
305,89,channel1
306,88,channel1
307,75,channel1
308,78,channel1
309,73,channel1
310,75,channel1
311,97,channel1
312,77,channel1
313,95,channel1
314,63,channel1
315,76,channel1
316,90,channel1
317,59,channel1
318,82,channel1
319,81,channel1
320,101,channel1
321,77,channel1
322,51,channel1
323,89,channel1
324,106,channel1
325,81,channel1
326,94,channel1
327,136,channel1
328,81,channel1
329,94,channel1
330,99,channel1
331,91,channel1
332,77,channel1
333,62,channel1
334,75,channel1
335,69,channel1
336,67,channel1
337,86,channel1
338,97,channel1
339,73,channel1
340,108,channel1
341,121,channel1
342,81,channel1
343,72,channel1
344,100,channel1
345,93,channel1
346,95,channel1
347,84,channel1
348,88,channel1
349,66,channel1
350,48,channel1
351,72,channel1
352,91,channel1
353,103,channel1
354,91,channel1
355,80,channel1
356,80,channel1
357,48,channel1
358,90,channel1
359,165,channel1
360,150,channel1
361,51,channel1
362,78,channel1
363,117,channel1
364,66,channel1
365,138,channel1
366,93,channel1
367,83,channel1
368,87,channel1
369,100,channel1
370,70,channel1
371,42,channel1
372,97,channel1
373,110,channel1
374,71,channel1
375,103,channel1
376,106,channel1
