date,data,cols
1,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
2,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
3,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
4,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
5,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
6,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
7,"The Environmental Quality Laboratory at Caltech was awarded a $350,000 grant by the Andrew W. Mellon Foundation of New York to finance a three-year project.",channel1
8,.,channel1
9,.,channel1
10,.,channel1
11,.,channel1
12,.,channel1
13,.,channel1
14,.,channel1
15,.,channel1
16,.,channel1
17,.,channel1
18,.,channel1
19,.,channel1
20,.,channel1
21,.,channel1
22,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
23,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
24,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
25,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
26,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
27,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
28,"The Inupiat Eskimos of Alaska's North Slope are facing environmental and social issues due to energy development activities, leading to concerns about their quality of life.",channel1
29,"The search results include mentions of air pollution, haze, and air quality advisories, indicating a concern for environmental issues.",channel1
