date,data,cols
1,88448200,channel1
2,52049600,channel1
3,45824000,channel1
4,30348000,channel1
5,37232400,channel1
6,25038200,channel1
7,25346600,channel1
8,22593200,channel1
9,20923400,channel1
10,18109000,channel1
11,33334000,channel1
12,27044000,channel1
13,25015000,channel1
14,20894800,channel1
15,18964200,channel1
16,18683800,channel1
17,15386400,channel1
18,21194000,channel1
19,24116000,channel1
20,24582600,channel1
21,22196400,channel1
22,18094400,channel1
23,40103400,channel1
24,35804000,channel1
25,23143200,channel1
26,19330200,channel1
27,21621800,channel1
28,20140000,channel1
29,13817200,channel1
30,11704600,channel1
31,14151800,channel1
32,14412600,channel1
33,14342400,channel1
34,19198600,channel1
35,13633800,channel1
36,14033800,channel1
37,10713400,channel1
38,9596800,channel1
39,11360400,channel1
40,11022400,channel1
41,18071000,channel1
42,7847800,channel1
43,10086600,channel1
44,6956400,channel1
45,11879600,channel1
46,9615200,channel1
47,10661400,channel1
48,12710400,channel1
49,13573800,channel1
50,8245200,channel1
51,9917400,channel1
52,10121000,channel1
53,4183800,channel1
54,12931400,channel1
55,11864400,channel1
56,16955400,channel1
57,15978800,channel1
58,24786200,channel1
59,19842000,channel1
60,154165200,channel1
61,54756000,channel1
62,27681200,channel1
63,23406200,channel1
64,25263400,channel1
65,25776400,channel1
66,33421800,channel1
67,22512400,channel1
68,29112800,channel1
69,19977000,channel1
70,9550200,channel1
71,9945200,channel1
72,3773800,channel1
73,8425200,channel1
74,11167800,channel1
75,6931800,channel1
76,13716200,channel1
77,12718800,channel1
78,19904000,channel1
79,25134000,channel1
80,21133400,channel1
81,20974200,channel1
82,14955600,channel1
83,21871200,channel1
84,17547800,channel1
85,13050000,channel1
86,16530400,channel1
87,17032000,channel1
88,24235600,channel1
89,29565400,channel1
90,28954000,channel1
91,19007800,channel1
92,14440800,channel1
93,15561000,channel1
94,11232400,channel1
95,14122200,channel1
96,12513800,channel1
97,14047400,channel1
98,13558600,channel1
99,21101000,channel1
100,15802000,channel1
