date,data,cols
1,"Biggest Losers (ZOOM,KR,TIV,HNT).Kroger (KR) Disappoints",channel1
2,.,channel1
3,.,channel1
4,.,channel1
5,.,channel1
6,"Jim Cramer Views (MPEL, WYNN, IVAN, KBR, KR)",channel1
7,.,channel1
8,.,channel1
9,.,channel1
10,.,channel1
11,.,channel1
12,.,channel1
13,.,channel1
14,.,channel1
15,.,channel1
16,.,channel1
17,.,channel1
18,.,channel1
19,.,channel1
20,.,channel1
21,.,channel1
22,.,channel1
23,.,channel1
24,.,channel1
25,.,channel1
26,.,channel1
27,.,channel1
28,.,channel1
29,.,channel1
30,.,channel1
31,.,channel1
32,.,channel1
33,.,channel1
34,.,channel1
35,.,channel1
36,.,channel1
37,Dollar General: A Boost to Investors and the IPO Market (DG),channel1
38,.,channel1
39,.,channel1
40,.,channel1
41,"Goldman Sachs adds Kroger To Its Conviction Buy List.Company News for November 10, 2009 - Corporate Summary",channel1
42,.,channel1
43,.,channel1
44,.,channel1
45,.,channel1
46,.,channel1
47,.,channel1
48,.,channel1
49,.,channel1
50,.,channel1
51,.,channel1
52,.,channel1
53,.,channel1
54,.,channel1
55,.,channel1
56,.,channel1
57,.,channel1
58,Deutsche Bank (DB) Says Buy Kroger (KR),channel1
59,Grocery Chain Kroger (KR) Reports Q3 Earnings.Kroger Company (KR) On The Road to Recovery,channel1
60,"BenzingaÃ¢ÂÂs Biggest Losers (PIP, ADAT, KR, SVU, AIB).BenzingaÃ¢ÂÂs Top Pre- Market Losers (CELG, KR, MMM, MCD).Benzinga's Earnings Preview (KR, AZO, CKR, MTN, MW, SAI)",channel1
61,"Stock Market News for December 9, 2009 - Market News.BenzingaÃ¢ÂÂs Top Downgrades (KMB, MITI, CAN, CFX, KR, MDAS).KR Faces Risk of an Earnings Decline in 2010.The Kroger: Tough Competition Is Pressuring EPS",channel1
62,KRÃ¢ÂÂs Q3 Earnings Hurt by Stiff Competition,channel1
63,.,channel1
64,.,channel1
65,Credit Suisse: Deflation Remains Near Peak Levels,channel1
66,.,channel1
67,.,channel1
68,Kroger Co. (KR) Ã¢ÂÂ A Good Long Term Bet,channel1
69,Whole Foods (WFMI) Selling Well On Rational Prices,channel1
70,.,channel1
71,.,channel1
72,.,channel1
73,.,channel1
74,.,channel1
75,.,channel1
76,.,channel1
77,.,channel1
78,.,channel1
79,.,channel1
80,.,channel1
81,.,channel1
82,Protective Puts Bought in Kroger,channel1
83,.,channel1
84,.,channel1
85,.,channel1
86,.,channel1
87,.,channel1
88,.,channel1
89,.,channel1
90,.,channel1
91,"Foods: Ralcorp And Chiquita Look Yummy (RAH, CQB, SWY, HNZ, THS, KR, K)",channel1
92,.,channel1
93,.,channel1
94,.,channel1
95,.,channel1
96,.,channel1
97,.,channel1
98,.,channel1
99,Alternative Investing in the 'New Normal',channel1
100,.,channel1
101,.,channel1
102,.,channel1
103,.,channel1
104,.,channel1
105,.,channel1
106,.,channel1
107,.,channel1
108,.,channel1
109,.,channel1
110,.,channel1
111,.,channel1
112,.,channel1
113,.,channel1
114,.,channel1
115,.,channel1
116,.,channel1
117,.,channel1
118,.,channel1
119,Cramer's 'Mad Money' Recap: Next Week's Game Plan (Update 1),channel1
120,"Rocket Stocks for the Week.Cramer On Mad Money Recommends JCG, MW, GNTX, DMA; Asks Investors To Avoid CRZO, CLNE",channel1
121,"Top 5 Stocks For March 9, 2010 (DKS, KR, TSTY, JCG, JPM).BenzingaÃ¢ÂÂs News Roundup (SSI, DKS, KR, BKE, TM).Stock Market News for March 9, 2010 - Market News.Kroger 2010 Forecast Could Fall Short.Procter & Gamble Recalls Pringles Chips.Cisco Systems: Tuesday's Headlines.Kroger Co. (KR) Reports Lower-Than-Expected Fourth Quarter Profit, Issues Guarded Outlook",channel1
122,The Kroger Co.Ã¢ÂÂs (KR) Price Target Raised,channel1
123,Retail ETF Gains With Balanced Approach,channel1
124,"'Fast Money' Recap: No Man's Land.Fast Money Picks For March 15th (KR, KRE, GGP)",channel1
125,.,channel1
126,.,channel1
127,.,channel1
128,.,channel1
129,.,channel1
130,.,channel1
131,The Changing Face of Shopping In The US,channel1
132,.,channel1
133,.,channel1
134,.,channel1
135,.,channel1
136,.,channel1
137,.,channel1
138,.,channel1
139,The Retail ETF Is Banking On Positive Reports From Retailers This Week,channel1
140,.,channel1
141,.,channel1
142,.,channel1
143,Wal-Mart (WMT) Slashes Prices To Boost Sales.Walmart Slashes Prices On Thousands Of Products To Win Back Its Reputation As A Leading Discounter,channel1
144,.,channel1
145,.,channel1
146,.,channel1
147,.,channel1
148,.,channel1
149,.,channel1
150,.,channel1
151,.,channel1
152,.,channel1
153,.,channel1
154,.,channel1
155,.,channel1
156,.,channel1
157,.,channel1
158,.,channel1
159,.,channel1
160,.,channel1
161,.,channel1
162,.,channel1
163,"Dow, Jobs, 'Lettuce Recall': Hot Trends",channel1
164,.,channel1
165,.,channel1
166,Complacency is the Enemy 05-12-2010.Kroger Draws Bullish Options Play,channel1
167,Kroger And United Food Union Reach Agreement,channel1
168,.,channel1
169,"Jefferies & Company Supermarket Outlook (WMT, KR, SWY)",channel1
170,.,channel1
171,.,channel1
172,.,channel1
173,Wal-Mart 'Great Value' Strategy: What Went Wrong?,channel1
174,.,channel1
175,.,channel1
176,.,channel1
177,.,channel1
178,.,channel1
179,.,channel1
180,.,channel1
181,Market Waiting On Unemployment Numbers 06-03-2010,channel1
182,Wal-Mart Annual Meeting: Live Blog,channel1
183,.,channel1
184,.,channel1
185,.,channel1
186,Citigroup Recommends WMT And WINN In The Clubs And Discounters Segment,channel1
187,Kroger and United Food and Commercial Workers in Michigan Reach Tentative Agreement (KR),channel1
188,"Earnings Plays to Watch This Week.Bulls and Bears in Dead Heat.Watch Out For The Transportation, Retail And Gold ETFs This Week",channel1
189,Calls Sold on Kroger (KR),channel1
190,.,channel1
191,"AIG, UBS: Thursday's Headlines.Kroger Stock Spikes on Earnings Beat.Kroger (KR) Gets A Buy Rating At Jefferies.Stocks To Watch For June 17 (PIR, SJM, KR, SFD).Top Performing Industries For June 17 (UXG, KR, CDE, AAPL)",channel1
192,"Kroger Gets Buy Rating (KR).Apple: Analysts' Upgrades, Downgrades.Jefferies Raises Estimates on Kroger (KR).Citi Ups Kroger Price Target to $23 (KR)",channel1
193,.,channel1
194,"'Fast Money' Recap: Danger Signs.Fast Money's Trades For Wednesday.Fast Money Picks For June 23rd (STD, JEF, KR, BMY)",channel1
195,.,channel1
196,.,channel1
197,.,channel1
198,.,channel1
199,.,channel1
200,.,channel1
201,Playing Food Safety with Qiagen,channel1
202,.,channel1
203,.,channel1
204,.,channel1
205,.,channel1
206,.,channel1
207,.,channel1
208,.,channel1
209,.,channel1
210,.,channel1
211,.,channel1
212,.,channel1
213,Jefferies Says Buy Kroger (KR),channel1
214,.,channel1
215,Safeway Drags Down Grocery Stocks,channel1
216,.,channel1
217,.,channel1
218,.,channel1
219,.,channel1
220,.,channel1
221,.,channel1
222,.,channel1
223,.,channel1
224,"Whole Foods Tops, Pares Forecast - Analyst Blog",channel1
225,Initial Jobless Claims Bounce Back - Analyst Blog,channel1
226,.,channel1
227,.,channel1
228,Wal-Mart Hiking Prices for Consumers: J.P. Morgan (WMT),channel1
229,.,channel1
230,.,channel1
231,.,channel1
232,.,channel1
233,.,channel1
234,.,channel1
235,.,channel1
236,.,channel1
237,.,channel1
238,Jefferies Maintains Buy Rating on Kroger (KR).Protection Purchased on Kroger Co. (KR),channel1
239,.,channel1
240,.,channel1
241,.,channel1
242,Retail REITs: Trouble Ahead,channel1
243,Kroger to Webcast Second Quarter Conference Call (KR),channel1
244,.,channel1
245,.,channel1
246,.,channel1
247,.,channel1
248,.,channel1
249,Shop for Put Options on Kroger,channel1
250,The First of the Third - Earnings Preview,channel1
251,"Earnings Preview: Kroger Co. (KR).Earnings Preview: Kroger - Analyst Blog.Zacks Earnings Preview: Oracle, Federal Express, Discover Financial, Kroger's and Best Buy - Press Releases.Jefferies Has Buy Rating On Kroger (KR)",channel1
252,"Kroger Profit Beats Views.Earnings Scheduled For September 14 (KR, BBY, PLL, CHP, KOOLD, WNI, CBRL, COOL, MDZ).Stocks To Watch For September 14 (BBY, FUL, KR, MSFT, PLL).Retail Sales Better than Expected - Analyst Blog.Zacks Analyst Blog Highlights: Laboratory Corporation of America Holdings, Genzyme, The Kroger Company, Wal-Mart Stores and Costco Wholesale - Press Releases.Stock Market News for September 14, 2010 - Market News.Kroger Outpaces Zacks Estimate - Analyst Blog.Kroger Reports Q2 EPS of $.41.Kroger Rises On Upbeat Q2 Results.US Stock Futures Mixed As Investors Await Retail-Sales Data",channel1
253,"Jefferies Reiterates Buy Rating on Kroger (KR).Zacks Analyst Blog Highlights: Best Buy Company, The Kroger Company, Wal-Mart Stores, Safeway and Whole Foods Market - Press Releases.Zacks Analyst Blog Highlights: Kroger's, Walgreen's, Best Buy, Home Depot and The Gap - Press Releases.Kroger Co. Beats 2Q Estimates",channel1
254,"Stock Market News for September 15, 2010 - Market News.Kroger Increases Quarterly Dividend to 10.5 Cents.Regency Centers Gets AT&T as Lessee - Analyst Blog",channel1
255,Kroger Enhances Return - Analyst Blog,channel1
256,.,channel1
257,"America's Biggest Companies, Then and Now (1955 to 2010).Zacks Analyst Blog Highlights: The Kroger Company, GameStop, Wal-Mart, Costco Wholesale Corporation and Brinker International - Press Releases.Kroger: Earnings Scorecard - Analyst Blog",channel1
258,Kroger Still Overweight According To JP Morgan,channel1
259,"Kroger and Shell Continue Fuel Rewards Program.Kroger Co. Chairman Sells 148,114 Shares of KR",channel1
260,.,channel1
261,.,channel1
262,.,channel1
263,.,channel1
264,"Initial, Total Jobless Claims Fall - Analyst Blog",channel1
265,.,channel1
266,Analysts Look For Greater Focus On Margins & Growth For Kroger,channel1
267,.,channel1
268,.,channel1
269,.,channel1
270,.,channel1
271,.,channel1
272,.,channel1
273,Calls Purchased on The Kroger Co. (KR),channel1
274,.,channel1
275,.,channel1
276,"Zacks Analyst Blog Highlights: AMZN,KR,BBY,HD,GPS - Press Releases.Zacks Analyst Blog Highlights: KR,TBT,PFE,MRK,GCI - Press Releases.Monday's Put/Call Ratio Leaders (IBKR, KR, LULU, THC, CMCSA).CPI Tame in September - Analyst Blog.Green Peas Recalled Over Glass Traces.Retail Sales' Rise Surprise - Analyst Blog",channel1
277,.,channel1
278,Puts Sold on Kroger (KR),channel1
279,.,channel1
280,.,channel1
281,U.S. Bank and Kroger Partner to Provide Rewards,channel1
282,Chiquita (NYSE: CQB) Looks to Harvest Fresh Growth.Chiquita (NYSE: CQB) Looks to Harvest Fresh Growth,channel1
283,.,channel1
284,Initial and Continuing Claims Fall - Analyst Blog,channel1
285,Breeders' Cup Bets On Big Investment,channel1
286,.,channel1
287,.,channel1
288,.,channel1
289,.,channel1
290,"Zacks Bull and Bear of the Day Highlights: eBay, Range Resources, Wal-Mart, Big Lots and Kroger - Press Releases",channel1
291,.,channel1
292,.,channel1
