date,data,cols
1,4130200,channel1
2,4006300,channel1
3,5253300,channel1
4,4889900,channel1
5,5397600,channel1
6,5095000,channel1
7,5819500,channel1
8,4824100,channel1
9,4392300,channel1
10,6557900,channel1
11,4197900,channel1
12,9837100,channel1
13,6392400,channel1
14,10368700,channel1
15,7800700,channel1
16,6985200,channel1
17,5866700,channel1
18,5621500,channel1
19,10094800,channel1
20,5414600,channel1
21,4943100,channel1
22,4267300,channel1
23,7312300,channel1
24,4463900,channel1
25,4978300,channel1
26,10636200,channel1
27,8161100,channel1
28,5971200,channel1
29,6443200,channel1
30,6587500,channel1
31,9719500,channel1
32,4735700,channel1
33,8185600,channel1
34,5560400,channel1
35,4200100,channel1
36,4720700,channel1
37,4394900,channel1
38,3982600,channel1
39,6855900,channel1
40,8079700,channel1
41,4866300,channel1
42,5365000,channel1
43,15985800,channel1
44,7275100,channel1
45,7760700,channel1
46,4398100,channel1
47,4754000,channel1
48,7749000,channel1
49,7589000,channel1
50,10285600,channel1
51,8116300,channel1
52,7625100,channel1
53,13309600,channel1
54,7090900,channel1
55,5798200,channel1
56,8127800,channel1
57,4960100,channel1
58,6221200,channel1
59,5414100,channel1
60,5595000,channel1
61,6809400,channel1
62,5359000,channel1
63,4385400,channel1
64,5142800,channel1
65,9138100,channel1
66,5653000,channel1
67,7270700,channel1
68,5668500,channel1
69,7332300,channel1
70,5090100,channel1
71,4726400,channel1
72,4748300,channel1
73,6690100,channel1
74,5164800,channel1
75,3564400,channel1
76,5052800,channel1
77,5613900,channel1
78,23245900,channel1
79,5915500,channel1
80,3006800,channel1
81,7582400,channel1
82,6500100,channel1
83,8428000,channel1
84,6359100,channel1
85,6359400,channel1
86,5231100,channel1
87,6365100,channel1
88,4623900,channel1
89,6565100,channel1
90,4381300,channel1
91,5229500,channel1
92,4521600,channel1
93,4184200,channel1
94,6326900,channel1
95,9562500,channel1
96,5549500,channel1
97,3771700,channel1
98,5509400,channel1
99,1615600,channel1
100,3477700,channel1
101,4386800,channel1
102,3924100,channel1
103,3378800,channel1
104,6109400,channel1
105,6568600,channel1
106,7470700,channel1
107,6895200,channel1
108,4947200,channel1
109,4339400,channel1
110,4321600,channel1
111,3999800,channel1
112,4260600,channel1
113,5663300,channel1
114,6034400,channel1
