date,data,cols
1,27,channel1
2,29,channel1
3,27,channel1
4,26,channel1
5,26,channel1
6,26,channel1
7,28,channel1
8,30,channel1
9,28,channel1
10,28,channel1
11,29,channel1
12,27,channel1
13,28,channel1
14,30,channel1
15,28,channel1
16,29,channel1
17,28,channel1
18,26,channel1
19,26,channel1
20,24,channel1
21,24,channel1
22,24,channel1
23,26,channel1
24,25,channel1
25,25,channel1
26,24,channel1
27,24,channel1
28,24,channel1
29,24,channel1
30,24,channel1
31,24,channel1
32,25,channel1
33,25,channel1
34,25,channel1
35,27,channel1
36,26,channel1
37,26,channel1
38,29,channel1
39,26,channel1
40,26,channel1
41,29,channel1
42,27,channel1
43,27,channel1
44,30,channel1
45,28,channel1
46,26,channel1
47,26,channel1
48,28,channel1
49,28,channel1
50,31,channel1
51,28,channel1
52,28,channel1
53,30,channel1
54,27,channel1
55,28,channel1
56,28,channel1
57,27,channel1
58,28,channel1
59,29,channel1
60,28,channel1
61,27,channel1
62,27,channel1
63,27,channel1
64,27,channel1
65,27,channel1
66,28,channel1
67,28,channel1
68,30,channel1
69,28,channel1
70,28,channel1
71,29,channel1
72,28,channel1
73,28,channel1
74,28,channel1
75,27,channel1
76,27,channel1
77,28,channel1
78,26,channel1
79,24,channel1
80,26,channel1
81,26,channel1
82,26,channel1
83,26,channel1
84,26,channel1
85,26,channel1
86,29,channel1
87,27,channel1
88,26,channel1
89,26,channel1
90,26,channel1
91,25,channel1
92,25,channel1
93,25,channel1
94,27,channel1
95,26,channel1
96,26,channel1
97,27,channel1
98,28,channel1
99,27,channel1
100,27,channel1
101,29,channel1
102,29,channel1
103,26,channel1
104,29,channel1
105,27,channel1
106,27,channel1
107,29,channel1
108,27,channel1
109,27,channel1
110,27,channel1
111,26,channel1
112,26,channel1
113,28,channel1
114,26,channel1
115,26,channel1
116,29,channel1
117,27,channel1
118,27,channel1
119,29,channel1
120,27,channel1
121,27,channel1
122,30,channel1
123,27,channel1
124,28,channel1
125,30,channel1
126,28,channel1
127,28,channel1
128,30,channel1
129,28,channel1
130,26,channel1
131,28,channel1
132,26,channel1
133,28,channel1
134,27,channel1
135,26,channel1
136,27,channel1
137,29,channel1
138,27,channel1
139,26,channel1
140,29,channel1
141,26,channel1
142,25,channel1
143,28,channel1
144,26,channel1
145,26,channel1
146,28,channel1
147,27,channel1
148,26,channel1
149,28,channel1
150,25,channel1
151,25,channel1
152,27,channel1
153,26,channel1
154,28,channel1
155,28,channel1
156,27,channel1
157,28,channel1
158,28,channel1
159,27,channel1
160,26,channel1
161,29,channel1
162,26,channel1
163,26,channel1
164,29,channel1
165,27,channel1
166,27,channel1
167,28,channel1
168,27,channel1
169,27,channel1
170,27,channel1
171,27,channel1
172,27,channel1
173,29,channel1
174,26,channel1
175,27,channel1
176,26,channel1
177,24,channel1
178,23,channel1
179,26,channel1
180,24,channel1
181,21,channel1
182,25,channel1
183,23,channel1
184,23,channel1
185,26,channel1
186,23,channel1
187,23,channel1
188,27,channel1
189,23,channel1
190,24,channel1
191,27,channel1
192,25,channel1
193,27,channel1
194,27,channel1
195,25,channel1
196,25,channel1
197,26,channel1
198,26,channel1
199,26,channel1
200,27,channel1
201,26,channel1
202,27,channel1
203,27,channel1
204,26,channel1
205,26,channel1
206,28,channel1
207,26,channel1
208,26,channel1
209,27,channel1
210,24,channel1
211,25,channel1
212,26,channel1
213,25,channel1
214,25,channel1
215,26,channel1
216,26,channel1
217,25,channel1
218,27,channel1
219,25,channel1
220,26,channel1
221,28,channel1
222,24,channel1
223,24,channel1
224,27,channel1
225,22,channel1
226,22,channel1
227,26,channel1
228,23,channel1
229,23,channel1
230,25,channel1
231,24,channel1
232,24,channel1
233,26,channel1
234,24,channel1
235,24,channel1
236,26,channel1
237,23,channel1
238,23,channel1
239,25,channel1
240,23,channel1
241,24,channel1
242,25,channel1
243,23,channel1
244,24,channel1
245,26,channel1
246,24,channel1
247,26,channel1
248,26,channel1
249,24,channel1
250,25,channel1
251,26,channel1
252,25,channel1
253,24,channel1
254,26,channel1
255,23,channel1
256,24,channel1
257,26,channel1
258,22,channel1
259,22,channel1
