date,data,cols
1,"Cloudy, hot weather; south wind level 2-3; temperature 27-33Â°C; relative humidity 65%-90%.",channel1
2,Cloudy with occasional showers; southerly wind; temperature 29-33Â°C; relative humidity 65%-85%.,channel1
3,"Cloudy, hot weather; temperature 27-33Â°C, above 35Â°C in central and northern areas and densely populated areas; south wind level 2-3; relative humidity 65%-90%.",channel1
4,"In the morning, the situation tended to slow down, mainly cloudy with something; the temperature is 26-31Â°C; southerly turning to southeasterly wind of 2-3 levels, with gusts of 4 levels; the relative humidity is 65%-95%.",channel1
5,It is cloudy with short-term light rain at times; the temperature is 26-31Â°C; the light south wind is at 2-3 levels; the relative humidity is 65%-95%.,channel1
6,It is cloudy with short-term showers occasionally; the temperature is 26-32Â°C; the south wind is 2-3 levels; the relative humidity is 65%-95%.,channel1
7,"It's cloudy; the temperature is 28-33Â°C, and it can reach 35Â°C in the northern and densely populated areas; southerly wind of 2-3 levels; the relative humidity is 65%-95%.",channel1
8,"It's cloudy and the weather is hot; the temperature is 30-34Â°C, and it can reach 35Â°C or above in the northern and densely populated areas; the south wind is 2-3 levels; the relative humidity is 60%-85%.",channel1
9,"It's cloudy, the weather is extremely hot; the temperature is 28-34Â°C, 35-36Â°C in the central and northern areas and densely populated areas; the east wind is grade 2-3; the relative humidity is 55%-85%.",channel1
10,"Cloudy, with hot weather; temperature 28-34Â°C, 35-36Â°C in the central and northern areas and densely populated areas; easterly wind of 2-3 levels; relative humidity 50%-85%.",channel1
11,"It's cloudy and hot to extremely hot; the temperature is 29-34Â°C, and it can reach over 35Â°C in the central-northern and densely populated areas; there is a northerly wind of grade 2; the relative humidity is 50%-85%.",channel1
12,"It's cloudy. The weather is extremely hot. The temperature ranges from 27 to 34Â°C, and can reach above 35Â°C in central-northern regions and densely populated areas. There is a northerly wind of magnitude 2. The relative humidity is between 55% and 90%.",channel1
13,"It is cloudy, extremely hot weather; temperature is 28-34Â°C, and it can reach above 35Â°C in the central and northern regions and densely populated areas; northerly wind of grade 2; relative humidity is 55%-90%.",channel1
14,"Partly cloudy and sunny intervals, extremely hot weather; temperature 30-36Â°C; northerly wind of grade 2; relative humidity 55%-90%.",channel1
15,It's extremely hot with heat; temperature ranges from 28 to 35Â°C; northerly wind of grade 2; relative humidity is 45% to 90%.,channel1
16,"High temperature; temperature 29-35Â°C; northeasterly wind level 3, gust level 4; relative humidity 60%-90%.",channel1
17,"Cloudy; temperature 28-33Â°C; northeasterly wind of level 3, gusts of level 4; relative humidity 60%-90%.",channel1
18,"temperature 26-30Â°C; east to southeast wind level 3-4, gust 6 levels, coastal 6 levels, gust 8 levels; relative humidity 75%-95%.",channel1
19,"; temperature 26-30Â°C; northeast wind turning to east wind, 4-5 levels; relative humidity 80%-95%.",channel1
20,temperature 24-28Â°C; northeasterly turning to easterly wind of magnitude 4; relative humidity 85%-95%.,channel1
21,"temperature 24-27Â°C; east turning to southeast wind, the average land wind force, the coastal wind force; relative humidity 85%-98%.",channel1
22,"temperature 24-27Â°C; southeast wind of 7-8 levels, with gusts of 10 levels, 8-9 along the coast with gusts of 11 levels, and the wind force significantly weakened in the afternoon; relative humidity 80%-95%.",channel1
23,"Overcast to cloudy with occasional showers; temperature 26-28Â°C; southeasterly wind, 4-5 levels along the coast; relative humidity 80%-95%.",channel1
24,Overcast with intervals of cloudy; temperature 25-29Â°C; southeast wind level 3-4; relative humidity 80%-95%.,channel1
25,Overcast with intervals of cloudy; temperature range 25-29Â°C; southeasterly wind of 3-4 levels; relative humidity 75%-95%.,channel1
26,Overcast; temperature 24-28Â°C; southeastern wind of 2-3 levels; relative humidity 75%-95%.,channel1
27,Overcast; temperature 24-28Â°C; southeasterly wind of 2-3 levels; relative humidity 75%-95%.,channel1
28,"In the morning, the whole city is mainly showers. Near noon, the situation changes; the temperature is 24-28Â°C; the southeast wind is level 2-3, with gusts up to 4 levels; the relative humidity is 80%-100%.",channel1
29,"temperature 24-28Â°C; southeasterly 2-3 levels, gust 4 levels; relative humidity 85%-100%.",channel1
30,Overcast; temperature 24-29Â°C; southeastern wind 2-3 levels; relative humidity 85%-100%.,channel1
31,"Overcast, from morning to morning, and the rain weakens in the afternoon; temperature 24-29Â°C; southeasterly wind 2-3 levels; relative humidity 85%-100%.",channel1
32,"Overcast; temperature 25-29Â°C; southeasterly wind level 2-3, gust level 4; relative humidity 85%-99%.",channel1
33,"Cloudy with intervals of overcast, with showers; temperature 25-29Â°C; southeastern wind of 2-3 levels; relative humidity 85%-95%.",channel1
34,Cloudy with short-term showers; temperature 25-30Â°C; southeast wind; relative humidity 85%-95%.,channel1
35,It's cloudy with short-term showers occuring at times; temperature ranges from 27 to 30 degrees Celsius; southeasterly wind of grade 2; relative humidity is 60% to 85%.,channel1
36,"Cloudy, with local short-term showers; temperature 26-32Â°C; southeasterly wind at grade 2, gusts at 3-4 grades; relative humidity 55%-90%.",channel1
37,Cloudy; temperature 26-32Â°C; southeasterly wind of level 2; relative humidity 55%-90%.,channel1
38,Cloudy; temperature 29-32Â°C; southeastern wind level 2; relative humidity 55%-85%.,channel1
39,"Mainly cloudy at night, with short-term showers in the eastern region, cloudy during the day; temperature 26-33Â°C, the maximum temperature in the central and northern regions and densely populated areas can reach 35Â°C; east wind level 2, gust level 3; relative humidity 55%-90%.",channel1
40,"Cloudy, with local short-term in some areas; temperature 26-33Â°C, with the highest temperature up to 35Â°C in the central and northern areas and densely populated areas; southerly wind turning to northwesterly wind at level 2; relative humidity 55%-90%.",channel1
41,"Cloudy, extremely hot weather; temperature 29-34Â°C, the highest temperature in the central and northern regions and densely populated areas is 35Â°C; weak wind; relative humidity 55%-80%.",channel1
42,"Sunny intervals and cloudy, weather; temperature range from 27 to 35Â°C, and up to 36Â°C or above in central and northern regions and densely populated areas; northerly wind of grade 2; relative humidity ranging from 45% to 85%.",channel1
43,"It is extremely hot with short-term showers in some areas. Some areas in the central and northern parts; temperature is 27-35Â°C, and 36Â°C in the northern and densely populated areas; there is a northerly wind of grade 2; relative humidity is 45%-85%.",channel1
44,"Partly cloudy, extremely hot weather; temperature 30-35Â°C, 36Â°C or above in the central and northern regions and densely populated areas; weak winds; relative humidity 45%-80%.",channel1
